[2026-09-19 15:38:06.193] [info] Inter-module access enforcement is OFF (no access policy set): any loaded module may call any other
[2026-09-19 15:38:06.580] [info] [logos] Granting host services to 'capability_module': token_registry,token_delivery
[2026-09-19 15:38:06.658] [out] [capability_module] [2026-09-19 15:38:06.658] [info] Granting host services to capability_module: ["token_registry","token_delivery"]
[2026-09-19 15:38:06.661] [info] [logos] Module loaded: capability_module
[2026-09-19 15:38:06.694] [info] [logos] Module loaded: modules_state
Logosctl daemon started (pid 520, instance dfe391185182)
Daemon state: /root/.logoscore/daemon/state.json
Local client config: /root/.logoscore/client/config.json
[2026-09-19 15:38:06.707] [info] [logos] Pushed module snapshot to modules_state
[2026-09-19 15:38:07.408] [info] [logos] [storage_module] StorageModuleImpl: Initializing...
[2026-09-19 15:38:07.412] [info] [logos] Module loaded: storage_module
[2026-09-19 15:38:07.564] [info] [logos] [storage_module] StorageModuleImpl::init called
[2026-09-19 15:38:07.857] [out] [storage_module] DBG 2026-09-19 15:38:07.853+05:00 Expanded address and hostname              topics="libp2p dialer" tid=555 expandedAddress=/ip4/47.76.168.186/tcp/8070 hostname=47.76.168.186 resolvedAddresses="[/ip4/47.76.168.186/tcp/8070]"
[2026-09-19 15:38:07.858] [out] [storage_module] DBG 2026-09-19 15:38:07.853+05:00 Lookup query                               topics="kad-dht find" tid=555 peer=16U*i66rfD
[2026-09-19 15:38:07.859] [out] [storage_module] DBG 2026-09-19 15:38:07.857+05:00 Dialing peer                               topics="libp2p dialer" tid=555 peerId=16U*i66rfD addrs="[/ip4/47.76.178.164/tcp/8070, /ip4/47.76.178.164/udp/9090]"
[2026-09-19 15:38:07.860] [out] [storage_module] DBG 2026-09-19 15:38:07.857+05:00 Expanded address and hostname              topics="libp2p dialer" tid=555 expandedAddress=/ip4/47.76.178.164/tcp/8070 hostname=47.76.178.164 resolvedAddresses="[/ip4/47.76.178.164/tcp/8070]"
[2026-09-19 15:38:09.195] [out] [storage_module] DBG 2026-09-19 15:38:09.189+05:00 Dial successful                            topics="libp2p dialer" tid=555 peerId=16U*29vrbB
[2026-09-19 15:38:09.197] [out] [storage_module] DBG 2026-09-19 15:38:09.193+05:00 Created new blockexc peer                  topics="storage blockexcnetwork" tid=555 peer=16U*29vrbB
[2026-09-19 15:38:09.199] [out] [storage_module] DBG 2026-09-19 15:38:09.197+05:00 identify: info sent                        topics="libp2p identify" tid=555 stream=16U*29vrbB:6aae6611c59dfbf87e16f573 info="(peerId: 16Uiu2HAm9B9Ad6xzsefLfeD7ihCqJNo9rF6fiLzcRKsnkGrAeE8J, listenAddrs: [/ip4/0.0.0.0/tcp/34051], addrs: [/ip4/127.0.0.1/tcp/34051, /ip4/172.22.223.92/tcp/34051], protocols: [/ipfs/id/1.0.0, /libp2p/circuit/relay/0.1.0, /storage/blockexc/1.0.0, /storage/manifest/1.0.0, /ipfs/kad/1.0.0], protoVersion: ipfs/0.1.0, agentVersion: Logos Storage)"
[2026-09-19 15:38:09.241] [out] [storage_module] DBG 2026-09-19 15:38:09.237+05:00 Dial successful                            topics="libp2p dialer" tid=555 peerId=16U*iRJWnW
[2026-09-19 15:38:09.242] [out] [storage_module] DBG 2026-09-19 15:38:09.237+05:00 Created new blockexc peer                  topics="storage blockexcnetwork" tid=555 peer=16U*iRJWnW
[2026-09-19 15:38:09.397] [out] [storage_module] DBG 2026-09-19 15:38:09.393+05:00 identify: info sent                        topics="libp2p identify" tid=555 stream=16U*iRJWnW:6aae6611c59dfbf87e16f577 info="(peerId: 16Uiu2HAm9B9Ad6xzsefLfeD7ihCqJNo9rF6fiLzcRKsnkGrAeE8J, listenAddrs: [/ip4/0.0.0.0/tcp/34051], addrs: [/ip4/127.0.0.1/tcp/34051, /ip4/172.22.223.92/tcp/34051], protocols: [/ipfs/id/1.0.0, /libp2p/circuit/relay/0.1.0, /storage/blockexc/1.0.0, /storage/manifest/1.0.0, /ipfs/kad/1.0.0], protoVersion: ipfs/0.1.0, agentVersion: Logos Storage)"
[2026-09-19 15:38:09.642] [out] [storage_module] DBG 2026-09-19 15:38:09.641+05:00 Dial successful                            topics="libp2p dialer" tid=555 peerId=16U*pN9NEM
[2026-09-19 15:38:09.644] [out] [storage_module] DBG 2026-09-19 15:38:09.641+05:00 Created new blockexc peer                  topics="storage blockexcnetwork" tid=555 peer=16U*pN9NEM
[2026-09-19 15:38:09.684] [out] [storage_module] DBG 2026-09-19 15:38:09.681+05:00 Dial successful                            topics="libp2p dialer" tid=555 peerId=16U*XWmJd4
[2026-09-19 15:38:09.685] [out] [storage_module] DBG 2026-09-19 15:38:09.681+05:00 Created new blockexc peer                  topics="storage blockexcnetwork" tid=555 peer=16U*XWmJd4
[2026-09-19 15:38:09.686] [out] [storage_module] DBG 2026-09-19 15:38:09.681+05:00 identify: info sent                        topics="libp2p identify" tid=555 stream=16U*XWmJd4:6aae6611c59dfbf87e16f57a info="(peerId: 16Uiu2HAm9B9Ad6xzsefLfeD7ihCqJNo9rF6fiLzcRKsnkGrAeE8J, listenAddrs: [/ip4/0.0.0.0/tcp/34051], addrs: [/ip4/127.0.0.1/tcp/34051, /ip4/172.22.223.92/tcp/34051], protocols: [/ipfs/id/1.0.0, /libp2p/circuit/relay/0.1.0, /storage/blockexc/1.0.0, /storage/manifest/1.0.0, /ipfs/kad/1.0.0], protoVersion: ipfs/0.1.0, agentVersion: Logos Storage)"
[2026-09-19 15:38:09.693] [out] [storage_module] DBG 2026-09-19 15:38:09.689+05:00 identify: info received                    topics="libp2p identify" tid=555 stream=16U*29vrbB:6aae6611c59dfbf87e16f574 pubkey=ok(sec...473f)) addresses=/ip4/129.212.221.44/tcp/8070 protocols=/ipfs/id/1.0.0,/libp2p/autonat/2/dial-request,/libp2p/circuit/relay/0.2.0/hop,/storage/blockexc/1.0.0,/storage/manifest/1.0.0,/mix/1.0.0,/storage/dht-proxy/1.0.0 observable_address=ok(/ip4/104.28.251.26/tcp/48173) proto_version=ipfs/0.1.0 agent_version="Logos Storage" signedPeerRecord=Some
[2026-09-19 15:38:09.704] [out] [storage_module] DBG 2026-09-19 15:38:09.701+05:00 identify: info received                    topics="libp2p identify" tid=555 stream=16U*iRJWnW:6aae6611c59dfbf87e16f575 pubkey=ok(sec...e270)) addresses=/ip4/178.128.140.206/tcp/8070 protocols=/ipfs/id/1.0.0,/libp2p/autonat/2/dial-request,/libp2p/circuit/relay/0.2.0/hop,/storage/blockexc/1.0.0,/storage/manifest/1.0.0,/mix/1.0.0,/storage/dht-proxy/1.0.0 observable_address=ok(/ip4/104.28.251.26/tcp/48616) proto_version=ipfs/0.1.0 agent_version="Logos Storage" signedPeerRecord=Some
[2026-09-19 15:38:09.779] [out] [storage_module] DBG 2026-09-19 15:38:09.773+05:00 identify: info sent                        topics="libp2p identify" tid=555 stream=16U*pN9NEM:6aae6611c59dfbf87e16f57e info="(peerId: 16Uiu2HAm9B9Ad6xzsefLfeD7ihCqJNo9rF6fiLzcRKsnkGrAeE8J, listenAddrs: [/ip4/0.0.0.0/tcp/34051], addrs: [/ip4/127.0.0.1/tcp/34051, /ip4/172.22.223.92/tcp/34051], protocols: [/ipfs/id/1.0.0, /libp2p/circuit/relay/0.1.0, /storage/blockexc/1.0.0, /storage/manifest/1.0.0, /ipfs/kad/1.0.0], protoVersion: ipfs/0.1.0, agentVersion: Logos Storage)"
[2026-09-19 15:38:10.193] [out] [storage_module] DBG 2026-09-19 15:38:10.189+05:00 Error dialing                              topics="libp2p dialer" tid=555 conn=16U*iRJWnW:6aae6610c59dfbf87e16f570 peerId=16U*iRJWnW protos="[/ipfs/kad/1.0.0]" addrs="[/ip4/178.128.140.206/tcp/8070, /ip4/178.128.140.206/udp/9090]" description="Unable to select sub-protocol. Selected: . Available: @[\"/ipfs/kad/1.0.0\"]"
[2026-09-19 15:38:10.198] [out] [storage_module] DBG 2026-09-19 15:38:10.193+05:00 Kad lookup: RPC error                      topics="kad-dht find" tid=555 peer=16U*iRJWnW msg="dialStage: failed new dial: peer_id=16U*iRJWnW protos=@[\"/ipfs/kad/1.0.0\"] addrs=@[/ip4/178.128.140.206/tcp/8070, /ip4/178.128.140.206/udp/9090]: Unable to select sub-protocol. Selected: . Available: @[\"/ipfs/kad/1.0.0\"]"
[2026-09-19 15:38:10.200] [out] [storage_module] DBG 2026-09-19 15:38:10.197+05:00 Lookup query                               topics="kad-dht find" tid=555 peer=16U*iRJWnW
[2026-09-19 15:38:10.226] [out] [storage_module] DBG 2026-09-19 15:38:10.221+05:00 identify: info received                    topics="libp2p identify" tid=555 stream=16U*pN9NEM:6aae6611c59dfbf87e16f579 pubkey=ok(sec...c604)) addresses=/ip4/34.123.182.254/tcp/8070 protocols=/ipfs/id/1.0.0,/libp2p/autonat/2/dial-request,/libp2p/circuit/relay/0.2.0/hop,/storage/blockexc/1.0.0,/storage/manifest/1.0.0,/mix/1.0.0,/storage/dht-proxy/1.0.0 observable_address=ok(/ip4/104.28.251.26/tcp/48254) proto_version=ipfs/0.1.0 agent_version="Logos Storage" signedPeerRecord=Some
[2026-09-19 15:38:10.232] [out] [storage_module] DBG 2026-09-19 15:38:10.225+05:00 Error dialing                              topics="libp2p dialer" tid=555 conn=16U*29vrbB:6aae6610c59dfbf87e16f56f peerId=16U*29vrbB protos="[/ipfs/kad/1.0.0]" addrs="[/ip4/129.212.221.44/tcp/8070, /ip4/129.212.221.44/udp/9090]" description="Unable to select sub-protocol. Selected: . Available: @[\"/ipfs/kad/1.0.0\"]"
[2026-09-19 15:38:10.235] [out] [storage_module] DBG 2026-09-19 15:38:10.229+05:00 Kad lookup: RPC error                      topics="kad-dht find" tid=555 peer=16U*29vrbB msg="dialStage: failed new dial: peer_id=16U*29vrbB protos=@[\"/ipfs/kad/1.0.0\"] addrs=@[/ip4/129.212.221.44/tcp/8070, /ip4/129.212.221.44/udp/9090]: Unable to select sub-protocol. Selected: . Available: @[\"/ipfs/kad/1.0.0\"]"
[2026-09-19 15:38:10.239] [out] [storage_module] DBG 2026-09-19 15:38:10.237+05:00 Lookup query                               topics="kad-dht find" tid=555 peer=16U*29vrbB
[2026-09-19 15:38:10.242] [out] [storage_module] DBG 2026-09-19 15:38:10.237+05:00 Dial successful                            topics="libp2p dialer" tid=555 peerId=16U*H6rT9Z
[2026-09-19 15:38:10.244] [out] [storage_module] DBG 2026-09-19 15:38:10.241+05:00 Created new blockexc peer                  topics="storage blockexcnetwork" tid=555 peer=16U*H6rT9Z
[2026-09-19 15:38:10.246] [out] [storage_module] DBG 2026-09-19 15:38:10.241+05:00 identify: info sent                        topics="libp2p identify" tid=555 stream=16U*H6rT9Z:6aae6612c59dfbf87e16f582 info="(peerId: 16Uiu2HAm9B9Ad6xzsefLfeD7ihCqJNo9rF6fiLzcRKsnkGrAeE8J, listenAddrs: [/ip4/0.0.0.0/tcp/34051], addrs: [/ip4/127.0.0.1/tcp/34051, /ip4/172.22.223.92/tcp/34051], protocols: [/ipfs/id/1.0.0, /libp2p/circuit/relay/0.1.0, /storage/blockexc/1.0.0, /storage/manifest/1.0.0, /ipfs/kad/1.0.0], protoVersion: ipfs/0.1.0, agentVersion: Logos Storage)"
[2026-09-19 15:38:10.363] [out] [storage_module] DBG 2026-09-19 15:38:10.361+05:00 Dial successful                            topics="libp2p dialer" tid=555 peerId=16U*i66rfD
[2026-09-19 15:38:10.365] [out] [storage_module] DBG 2026-09-19 15:38:10.361+05:00 Created new blockexc peer                  topics="storage blockexcnetwork" tid=555 peer=16U*i66rfD
[2026-09-19 15:38:10.414] [out] [storage_module] DBG 2026-09-19 15:38:10.409+05:00 identify: info received                    topics="libp2p identify" tid=555 stream=16U*XWmJd4:6aae6611c59dfbf87e16f57b pubkey=ok(sec...51fc)) addresses=/ip4/34.70.60.201/tcp/8070 protocols=/ipfs/id/1.0.0,/libp2p/autonat/2/dial-request,/libp2p/circuit/relay/0.2.0/hop,/storage/blockexc/1.0.0,/storage/manifest/1.0.0,/mix/1.0.0,/storage/dht-proxy/1.0.0 observable_address=ok(/ip4/104.28.251.26/tcp/48449) proto_version=ipfs/0.1.0 agent_version="Logos Storage" signedPeerRecord=Some
[2026-09-19 15:38:10.465] [out] [storage_module] DBG 2026-09-19 15:38:10.461+05:00 Error dialing                              topics="libp2p dialer" tid=555 conn=16U*iRJWnW:6aae6610c59dfbf87e16f570 peerId=16U*iRJWnW protos="[/ipfs/kad/1.0.0]" addrs="[/ip4/178.128.140.206/tcp/8070]" description="Unable to select sub-protocol. Selected: . Available: @[\"/ipfs/kad/1.0.0\"]"
[2026-09-19 15:38:10.467] [out] [storage_module] DBG 2026-09-19 15:38:10.461+05:00 Kad lookup: RPC error                      topics="kad-dht find" tid=555 peer=16U*iRJWnW msg="dialStage: failed new dial: peer_id=16U*iRJWnW protos=@[\"/ipfs/kad/1.0.0\"] addrs=@[/ip4/178.128.140.206/tcp/8070]: Unable to select sub-protocol. Selected: . Available: @[\"/ipfs/kad/1.0.0\"]"
[2026-09-19 15:38:10.469] [out] [storage_module] DBG 2026-09-19 15:38:10.465+05:00 Lookup query                               topics="kad-dht find" tid=555 peer=16U*iRJWnW
[2026-09-19 15:38:10.505] [out] [storage_module] DBG 2026-09-19 15:38:10.501+05:00 identify: info sent                        topics="libp2p identify" tid=555 stream=16U*i66rfD:6aae6612c59dfbf87e16f587 info="(peerId: 16Uiu2HAm9B9Ad6xzsefLfeD7ihCqJNo9rF6fiLzcRKsnkGrAeE8J, listenAddrs: [/ip4/0.0.0.0/tcp/34051], addrs: [/ip4/127.0.0.1/tcp/34051, /ip4/172.22.223.92/tcp/34051], protocols: [/ipfs/id/1.0.0, /libp2p/circuit/relay/0.1.0, /storage/blockexc/1.0.0, /storage/manifest/1.0.0, /ipfs/kad/1.0.0], protoVersion: ipfs/0.1.0, agentVersion: Logos Storage)"
[2026-09-19 15:38:10.754] [out] [storage_module] DBG 2026-09-19 15:38:10.749+05:00 Error dialing                              topics="libp2p dialer" tid=555 conn=16U*29vrbB:6aae6610c59dfbf87e16f56f peerId=16U*29vrbB protos="[/ipfs/kad/1.0.0]" addrs="[/ip4/129.212.221.44/tcp/8070]" description="Unable to select sub-protocol. Selected: . Available: @[\"/ipfs/kad/1.0.0\"]"
[2026-09-19 15:38:10.756] [out] [storage_module] DBG 2026-09-19 15:38:10.753+05:00 Kad lookup: RPC error                      topics="kad-dht find" tid=555 peer=16U*29vrbB msg="dialStage: failed new dial: peer_id=16U*29vrbB protos=@[\"/ipfs/kad/1.0.0\"] addrs=@[/ip4/129.212.221.44/tcp/8070]: Unable to select sub-protocol. Selected: . Available: @[\"/ipfs/kad/1.0.0\"]"
